Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,State
St. James Healthcare,Butte,71,"3,623","14,831",Montana
The HealthCenter,Kalispell,27,463,"1,258",Montana
VA Medical Center and Ambulatory Care Clinic,Fort Harrison,0,0,0,Montana
AdventHealth Hendersonville,Hendersonville,98,"3,375","14,009",North Carolina
Alamance Regional Medical Center,Burlington,212,"9,944","36,522",North Carolina
Atrium Health Anson,Wadesboro,15,341,750,North Carolina
Atrium Health Cabarrus,Concord,457,"25,750","110,544",North Carolina
Atrium Health Cleveland,Shelby,241,"8,653","35,584",North Carolina
Atrium Health Kings Mountain,Kings Mountain,62,"1,717","7,226",North Carolina
Atrium Health Lincoln,Lincolnton,101,"4,571","19,725",North Carolina
Atrium Health Mercy,Charlotte,0,0,0,North Carolina
Atrium Health Pineville,Charlotte,250,"16,914","71,440",North Carolina
Atrium Health Stanly,Albemarle,109,"3,313","12,279",North Carolina
Atrium Health Union,Monroe,252,"8,954","35,302",North Carolina
Atrium Health University City,Charlotte,100,"6,968","29,611",North Carolina
Betsy Johnson Regional Hospital,Dunn,151,"5,586","18,042",North Carolina
Brenner Children's Hospital,Winston-Salem,0,0,0,North Carolina
Caldwell Memorial Hospital,Lenoir,110,"4,338","20,350",North Carolina
Cape Fear Valley Hoke Hospital,Raeford,41,"1,345","2,991",North Carolina
Cape Fear Valley Medical Center,Fayetteville,656,"34,079","178,835",North Carolina
CarolinaEast Medical Center,New Bern,306,"13,993","64,783",North Carolina
Carolinas HealthCare System - Blue Ridge,Morgantown,156,"6,994","28,897",North Carolina
Carolinas Medical Center,Charlotte,"1,257","62,650","327,442",North Carolina
CaroMont Regional Medical Center,Gastonia,383,"23,028","107,417",North Carolina
Carteret Healthcare,Morehead City,99,"6,061","27,207",North Carolina
Catawba Valley Medical Center,Hickory,258,"11,849","38,176",North Carolina
Central Carolina Hospital,Sanford,127,"4,879","15,736",North Carolina
Central Harnett Hospital,Lillington,0,0,0,North Carolina
Central Prison Hospital,Raleigh,0,0,0,North Carolina
Charles George VA Medical Center - Asheville NC,Asheville,0,0,0,North Carolina
Cherokee Indian Hospital,Cherokee,20,821,"1,787",North Carolina
Columbus Regional Healthcare System,Whiteville,154,"4,279","17,553",North Carolina
Cone Health Annie Penn Hospital,Reidsville,152,"3,661","15,686",North Carolina
Cone Health Wesley Long Hospital,Greensboro,0,0,0,North Carolina
Cone Health Women's Hospital,Greensboro,0,0,0,North Carolina
Davis Regional Medical Center,Statesville,140,"3,643","16,789",North Carolina
Duke Raleigh Hospital,Raleigh,175,"9,605","48,703",North Carolina
Duke Regional Hospital,Durham,354,"15,952","73,688",North Carolina
Duke University Hospital,Durham,977,"43,055","309,836",North Carolina
Durham VA Medical Center,Durham,0,0,0,North Carolina
Fayetteville VA Medical Center,Fayetteville,0,0,0,North Carolina
FirstHealth Moore Regional Hospital,Pinehurst,449,"23,538","103,104",North Carolina
FirstHealth Moore Regional Hospital-Hoke Campus,Raeford,0,0,0,North Carolina
FirstHealth Moore Regional Hospital-Richmond,Rockingham,141,"3,427","12,150",North Carolina
Frye Regional Medical Center,Hickory,355,"7,740","31,507",North Carolina
Granville Medical Center,Oxford,122,"2,337","7,390",North Carolina
Harris Regional Hospital,Sylva,82,"3,721","13,909",North Carolina
Haywood Regional Medical Center,Clyde,138,"4,614","17,613",North Carolina
Hugh Chatham Memorial Hospital,Elkin,81,"3,755","12,627",North Carolina
Iredell Memorial Hospital,Statesville,203,"7,363","33,473",North Carolina
Johnston Health Clayton,Clayton,0,0,0,North Carolina
Johnston Health Smithfield,Smithfield,199,"11,459","37,585",North Carolina
Lake Norman Regional Medical Center,Mooresville,123,"5,413","16,090",North Carolina
Lenoir UNC Health Care,Kinston,"1,103","5,520","25,447",North Carolina
Maria Parham Medical Center,Henderson,102,"4,446","18,019",North Carolina
Martin General Hospital,Williamston,43,"1,140","4,326",North Carolina
Maynard Children's Hospital,Greenville,0,0,0,North Carolina
Mission Hospital - Memorial Campus,Asheville,727,"33,864","197,974",North Carolina
Mission Hospital McDowell,Marion,49,"2,014","8,231",North Carolina
Mission Saint Joseph Campus,Asheville,0,0,0,North Carolina
Nash General Hospital,Rocky Mount,345,"11,870","53,792",North Carolina
Naval Hospital Camp Lejeune,Camp Lejeune,0,0,0,North Carolina
New Hanover Regional Medical Center,Wilmington,738,"37,232","188,101",North Carolina
New Hanover Regional Medical Center - Orthopedic Hospital,Wilmington,94,"3,813","15,775",North Carolina
North Carolina Specialty Hospital,Durham,18,"1,621","3,112",North Carolina
Northern Hospital of Surry County,Mount Airy,133,"4,098","13,174",North Carolina
Novant Health Brunswick Medical Center,Bolivia,61,"4,202","15,379",North Carolina
Novant Health Charlotte Orthopaedic Hospital,Charlotte,80,"3,449","8,860",North Carolina
Novant Health Forsyth Medical Center,Winston-Salem,901,"42,420","240,460",North Carolina
Novant Health Huntersville Medical Center,Huntersville,93,"9,010","27,699",North Carolina
Novant Health Kernersville Medical Center,Kernersville,0,0,0,North Carolina
Novant Health Matthews Medical Center,Matthews,123,"10,279","41,791",North Carolina
Novant Health Medical Park Hospital,Winston-Salem,22,895,"2,718",North Carolina
Novant Health Mint Hill Medical Center,Mint Hill,28,"1,416","4,740",North Carolina
Novant Health Presbyterian Medical Center,Charlotte,602,"27,191","141,500",North Carolina
Novant Health Rowan Medical Center,Salisbury,199,"9,946","44,771",North Carolina
Novant Health Thomasville Medical Center,Thomasville,119,"3,767","13,988",North Carolina
Onslow Memorial Hospital,Jacksonville,162,"7,877","32,651",North Carolina
Pardee Hospital,Hendersonville,160,"8,216","31,886",North Carolina
Person Memorial Hospital,Roxboro,98,986,"3,392",North Carolina
Randolph Hospital,Asheboro,145,"5,284","14,712",North Carolina
Rutherford Hospital,Rutherfordton,125,"3,170","11,012",North Carolina
Sampson Regional Medical Center,Clinton,71,"2,942","10,616",North Carolina
Scotland Memorial Hospital,Laurinburg,104,"6,186","20,168",North Carolina
Sentara Albemarle Medical Center,Elizabeth City,91,"4,818","20,294",North Carolina
Southeastern Regional Medical Center,Lumberton,371,"14,062","70,324",North Carolina
The Moses H. Cone Memorial Hospital,Greensboro,831,"45,618","194,807",North Carolina
UNC Hospitals Hillsborough Campus,Hillsborough,0,0,0,North Carolina
UNC Medical Center,Chapel Hill,937,"37,342","254,763",North Carolina
UNC Rex Healthcare,Raleigh,559,"28,737","122,933",North Carolina
UNC Rockingham Health Care,Eden,229,"3,207","10,875",North Carolina
Vidant Beaufort Hospital,Washington,91,"2,867","12,743",North Carolina
Vidant Duplin Hospital,Kenansville,74,"2,446","9,104",North Carolina
Vidant Edgecombe Hospital,Tarboro,117,"3,219","15,162",North Carolina
Vidant Medical Center,Greenville,943,"37,679","227,741",North Carolina
Vidant North Hospital,Roanoke Rapids,124,"4,733","20,116",North Carolina
Vidant Roanoke-Chowan Hospital,Ahoskie,98,"3,246","13,832",North Carolina
"W. G. (Bill) Hefner VA Medical Center - Salisbury, NC",Salisbury,0,0,0,North Carolina
Wake Forest Baptist Health - Wilkes Medical Center,North Wilkesboro,103,"3,609","11,808",North Carolina
Wake Forest Baptist Health -High Point Medical Center,High Point,304,"15,376","67,732",North Carolina
Wake Forest Baptist Health Davie Medical Center,Bermuda Run,18,"1,694","3,754",North Carolina
Wake Forest Baptist Health Lexington Medical Center,Lexington,80,"3,849","12,415",North Carolina
Wake Forest Baptist Medical Center,Winston-Salem,870,"36,712","233,152",North Carolina
WakeMed Cary Hospital,Cary,178,"11,748","49,256",North Carolina
WakeMed North Family Health and Women's Hospital,Raleigh,0,0,0,North Carolina
WakeMed Raleigh Campus,Raleigh,683,"32,284","170,573",North Carolina
Watauga Medical Center,Boone,95,"4,218","14,368",North Carolina
Wayne UNC Health Care,Goldsboro,261,"10,306","49,863",North Carolina
Wilmington Treatment Center,Wilmington,92,"1,207","17,802",North Carolina
Wilson Medical Center,Wilson,294,"6,650","26,771",North Carolina
Womack Army Medical Center,Fort Bragg,0,0,0,North Carolina
Altru Hospital,Grand Forks,294,"12,901","55,185",North Dakota
CHI Saint Alexius Health Bismarck,Bismarck,225,"7,677","35,449",North Dakota
Cobalt Rehabilitation Hospital - Fargo,Fargo,0,0,0,North Dakota
Essentia Health Fargo,Fargo,133,"8,364","34,977",North Dakota
Fargo VA Health Care System,Fargo,0,0,0,North Dakota
Fort Yates Hospital,Fort Yates,12,50,185,North Dakota
Quentin N. Burdick Memorial Health Care Facility,Belcourt,27,530,"2,388",North Dakota
Sanford Bismarck Medical Center,Bismarck,227,"10,882","54,797",North Dakota
Sanford Medical Center Fargo,Fargo,512,"25,373","119,590",North Dakota
Sanford South University Medical Center,Fargo,145,"2,887","14,376",North Dakota
Trinity Hospital,Minot,428,"7,128","33,344",North Dakota
Bryan Medical Center - East Campus,Lincoln,574,"24,028","122,963",Nebraska
Bryan Medical Center - West Campus,Lincoln,230,"7,683","43,032",Nebraska
CHI Health Creighton University Medical Center - Bergan Mercy,Omaha,385,"23,238","110,271",Nebraska
CHI Health Good Samaritan,Kearney,239,"6,989","31,395",Nebraska
CHI Health Immanuel,Omaha,232,"9,702","41,718",Nebraska
CHI Health Lakeside,Omaha,108,"6,545","23,144",Nebraska
CHI Health Midlands,Papillion,28,651,"1,667",Nebraska
CHI Health Nebraska Heart,Lincoln,54,"2,707","6,213",Nebraska
CHI Health Saint Elizabeth,Lincoln,235,"7,655","32,107",Nebraska
CHI Health Saint Francis,Grand Island,186,"6,107","21,993",Nebraska
Columbus Community Hospital,Columbus,47,"1,793","5,697",Nebraska
Faith Regional Health Services,Norfolk,129,"4,985","20,255",Nebraska
Great Plains Health,North Platte,116,"5,195","19,087",Nebraska
Kearney Regional Medical Center,Kearney,94,"2,710","12,902",Nebraska
Lincoln Surgical Hospital,Lincoln,21,"1,313","1,763",Nebraska
Mary Lanning Memorial Hospital,Hastings,143,"4,211","16,240",Nebraska
Methodist Fremont Health,Fremont,176,"2,312","8,239",Nebraska
Methodist Hospital,Omaha,374,"18,408","93,350",Nebraska
Methodist Women's Hospital,Omaha,0,0,0,Nebraska
Midwest Surgical Hospital,Omaha,19,"1,496","2,138",Nebraska
Nebraska Medicine- Bellevue,Bellevue,61,"4,897","15,489",Nebraska
Nebraska Spine Hospital,Omaha,34,884,"2,338",Nebraska
Omaha VA Medical Center,Omaha,0,0,0,Nebraska
OrthoNebraska,Omaha,24,"1,875","3,062",Nebraska
Regional West Medical Center,Scottsbluff,158,"5,295","21,834",Nebraska
The Nebraska Medical Center,Omaha,558,"29,102","167,631",Nebraska
Catholic Medical Center,Manchester,251,"11,824","64,942",New Hampshire
Cheshire Medical Center,Keene,110,"4,347","19,182",New Hampshire
Concord Hospital,Concord,221,"13,013","55,990",New Hampshire
Dartmouth-Hitchcock Medical Center,Lebanon,422,"18,966","116,086",New Hampshire
Elliot Hospital,Manchester,240,"11,833","59,704",New Hampshire
Exeter Hospital,Exeter,97,"5,304","22,696",New Hampshire
Frisbie Memorial Hospital,Rochester,84,"3,057","12,733",New Hampshire
Lakes Region General Hospital,Laconia,96,"3,777","15,163",New Hampshire
Manchester VA Medical Center,Manchester,0,0,0,New Hampshire
Parkland Medical Center,Derry,86,"3,717","14,386",New Hampshire
Portsmouth Regional Hospital,Portsmouth,173,"8,601","43,994",New Hampshire
Saint Joseph Hospital,Nashua,208,"4,691","23,010",New Hampshire
Southern New Hampshire Medical Center,Nashua,160,"9,416","36,414",New Hampshire
Wentworth-Douglass Hospital,Dover,118,"8,229","32,795",New Hampshire
Palisades Medical Center,North Bergen,202,"9,575","41,821",New Jersey
AtlantiCare Regional Medical Center - Mainland Campus,Pomona,0,0,0,New Jersey
AtlantiCare Regional Medical Center -Atlantic City Campus,Atlantic City,540,"30,244","135,601",New Jersey
Bayonne Medical Center,Bayonne,163,"5,083","23,070",New Jersey
Bayshore Medical Center,Holmdel,169,"7,212","37,434",New Jersey
Bergen New Bridge Medical Center,Paramus,"1,020","7,067","26,781",New Jersey
Cape Regional Medical Center,Cape May Court House,149,"6,520","24,371",New Jersey
Capital Health Medical Center - Hopewell,Pennington,145,"11,188","59,292",New Jersey
Capital Health Regional Medical Center,Trenton,162,"6,579","41,096",New Jersey
CentraState Medical Center,Freehold,264,"12,451","58,181",New Jersey
Chilton Medical Center,Pompton Plains,175,"9,116","39,823",New Jersey
Christ Hospital,Jersey City,178,"8,868","46,421",New Jersey
Clara Maass Medical Center,Belleville,342,"12,605","68,843",New Jersey
Community Medical Center,Toms River,449,"19,660","107,270",New Jersey
Cooper University Hospital,Camden,574,"28,570","158,191",New Jersey
Deborah Heart and Lung Center,Browns Mills,86,"3,840","20,543",New Jersey
East Orange General Hospital,East Orange,196,"4,929","25,260",New Jersey
Englewood Hospital and Medical Center,Englewood,289,"13,937","71,852",New Jersey
Hackensack Meridian Health JFK Medical Center,Edison,447,"20,340","94,894",New Jersey
Hackensack Meridian Health Mountainside Medical Center,Montclair,231,"10,662","41,538",New Jersey
Hackensack Meridian Health Pascack Valley Medical Center,Westwood,78,"4,955","19,785",New Jersey
Hackensack University Medical Center,Hackensack,711,"36,706","220,920",New Jersey
Hackettstown Medical Center,Hackettstown,64,"3,320","13,575",New Jersey
Hoboken University Medical Center,Hoboken,190,"4,659","22,389",New Jersey
Holy Name Medical Center,Teaneck,307,"12,271","64,840",New Jersey
Hudson Regional Hospital,Secaucus,106,"2,299","8,721",New Jersey
Hunterdon Medical Center,Flemington,184,"8,670","38,148",New Jersey
Inspira Medical Center Elmer,Elmer,83,"2,916","11,605",New Jersey
Inspira Medical Center Mullica Hill,Mullica Hill,0,0,0,New Jersey
Inspira Medical Center Vineland,Vineland,325,"16,308","76,379",New Jersey
Inspira Medical Center Woodbury,Woodbury,253,"8,125","39,530",New Jersey
Jefferson Washington Township Hospital,Turnersville,0,0,0,New Jersey
Jefferson Cherry Hill Hospital,Cherry Hill,522,"26,830","127,205",New Jersey
Jefferson Stratford Hospital,Stratford,0,0,0,New Jersey
Jersey City Medical Center,Jersey City,308,"13,027","70,853",New Jersey
Jersey Shore University Medical Center,Neptune,597,"29,251","149,670",New Jersey
"LTACH - CareOne at Hackensack University Medical Center, Pascack Valley",Westwood,0,0,0,New Jersey
LTACH - CareOne at Trinitas Regional Medical Center,Elizabeth,0,0,0,New Jersey
Monmouth Medical Center,Long Branch,342,"14,787","66,681",New Jersey
"Monmouth Medical Center, Southern Campus",Lakewood,201,"6,098","35,950",New Jersey
Morristown Medical Center,Morristown,693,"41,066","187,734",New Jersey
Newark Beth Israel Medical Center,Newark,487,"18,423","123,208",New Jersey
Newton Medical Center,Newton,146,"8,118","35,235",New Jersey
Ocean Medical Center,Brick,318,"13,885","75,256",New Jersey
Overlook Medical Center,Summit,467,"23,734","97,514",New Jersey
Princeton House Behavioral Health,Princeton,0,0,0,New Jersey
Princeton Medical Center,Plainsboro,355,"13,863","60,067",New Jersey
Raritan Bay Medical Center - Old Bridge Division,Old Bridge,0,0,0,New Jersey
Raritan Bay Medical Center - Perth Amboy Division,Perth Amboy,302,"11,641","60,066",New Jersey
Riverview Medical Center,Red Bank,304,"13,930","59,017",New Jersey
Robert Wood Johnson University Hospital at Rahway,Rahway,122,"4,776","25,201",New Jersey
Robert Wood Johnson University Hospital New Brunswick,New Brunswick,610,"30,830","172,117",New Jersey
Robert Wood Johnson University Hospital Somerset,Somerville,297,"12,611","60,810",New Jersey
RWJ University Hospital Hamilton,Hamilton,152,"7,055","35,078",New Jersey
Saint Barnabas Medical Center,Livingston,552,"28,094","162,495",New Jersey
Saint Clare's Denville Hospital,Denville,367,"14,713","55,495",New Jersey
Saint Clare's Hospital - Dover,Dover,243,3,29,New Jersey
Saint Francis Medical Center,Trenton,134,"4,718","22,457",New Jersey
Saint Joseph's University Medical Center,Paterson,698,"33,009","187,142",New Jersey
Saint Joseph's Wayne Medical Center,Wayne,141,"6,040","35,308",New Jersey
Saint Luke's Warren Campus,Phillipsburg,92,"4,077","16,852",New Jersey
Saint Mary's General Hospital,Passaic,145,"6,044","26,288",New Jersey
Saint Michael's Medical Center,Newark,147,"8,370","34,843",New Jersey
Saint Peter's University Hospital,New Brunswick,353,"18,954","89,506",New Jersey
Salem Medical Center,Salem,126,"2,647","9,081",New Jersey
Shore Medical Center,Somers Point,199,"8,638","34,352",New Jersey
Southern Ocean Medical Center,Manahawkin,174,"7,613","27,024",New Jersey
The University Hospital,Newark,355,"15,230","99,643",New Jersey
The Valley Hospital,Ridgewood,363,"20,249","91,764",New Jersey
Trinitas Regional Medical Center,Elizabeth,442,"10,723","51,849",New Jersey
VA New Jersey Health Care System - Lyons Campus,Lyons,0,0,0,New Jersey
VA New Jersey Healthcare System - East Orange Campus,East Orange,0,0,0,New Jersey
Valley-Mount Sinai Comprehensive Cancer Care,Paramus,0,0,0,New Jersey
Virtua Marlton Hospital,Marlton,0,0,0,New Jersey
Virtua Memorial Hospital,Mount Holly,339,"16,955","72,528",New Jersey
Virtua Our Lady of Lourdes Hospital,Camden,301,"14,304","53,146",New Jersey
Virtua Voorhees Hospital,Voorhees,587,"35,329","144,883",New Jersey
Virtua Willingboro Hospital,Willingboro,144,"6,686","29,822",New Jersey
Santa Fe Indian Hospital,Santa Fe,4,19,86,New Mexico
Acoma-Canoncito-Laguna Hospital,Acoma,6,38,122,New Mexico
Alta Vista Regional Hospital,Las Vegas,46,977,"3,362",New Mexico
Artesia General Hospital,Artesia,49,892,"2,224",New Mexico
Carlsbad Medical Center,Carlsbad,121,"2,045","6,495",New Mexico
CHRISTUS Saint Vincent Physicians Medical Center,Santa Fe,12,325,828,New Mexico
CHRISTUS Saint Vincent Regional Medical Center,Santa Fe,214,"10,520","43,757",New Mexico
Crownpoint Health Care Facility,Crownpoint,19,353,"1,175",New Mexico
Eastern New Mexico Medical Center,Roswell,162,"5,105","19,731",New Mexico
Gallup Indian Medical Center,Gallup,74,"2,696","11,872",New Mexico
Gerald Champion Regional Medical Center,Alamogordo,98,"3,103","10,691",New Mexico
Gila Regional Medical Center,Silver City,42,"1,033","4,432",New Mexico
Guadalupe County Hospital,Santa Rosa,10,212,584,New Mexico
Lea Regional Medical Center,Hobbs,92,"2,157","6,420",New Mexico
Los Alamos Medical Center,Los Alamos,47,756,"2,701",New Mexico
Lovelace Medical Center,Albuquerque,293,"12,469","62,759",New Mexico
Lovelace Regional Hospital - Roswell,Roswell,27,"2,011","6,667",New Mexico
Lovelace Westside Hospital,Albuquerque,70,"3,079","9,963",New Mexico
Lovelace Women's Hospital,Albuquerque,162,"6,772","32,780",New Mexico
Memorial Medical Center,Las Cruces,199,"9,594","41,641",New Mexico
Mescalero Hospital,Mescalero,6,48,159,New Mexico
MountainView Regional Medical Center,Las Cruces,180,"9,795","45,745",New Mexico
Plains Regional Medical Center,Clovis,106,"3,562","13,134",New Mexico
Presbyterian Espanola Hospital,Espanola,52,"2,097","7,983",New Mexico
Presbyterian Hospital,Albuquerque,716,"39,171","183,249",New Mexico
Presbyterian Kaseman Hospital,Albuquerque,85,"1,554","6,059",New Mexico
Presbyterian Rust Medical Center,Rio Rancho,0,0,0,New Mexico
Presbyterian Santa Fe Medical Center,Santa Fe,36,"1,924","5,647",New Mexico
Raymond G. Murphy VA Medical Center,Albuquerque,0,0,0,New Mexico
Rehoboth McKinley Christian Health Care Services Hospital,Gallup,28,"2,368","7,477",New Mexico
Roosevelt General Hospital,Portales,20,359,946,New Mexico
San Juan Regional Medical Center,Farmington,184,"8,857","36,449",New Mexico
The Heart Hospital of New Mexico at Lovelace Medical Center,Albuquerque,55,"2,817","12,085",New Mexico
The Northern Navajo Medical Center,Shiprock,60,"1,692","6,991",New Mexico
UNM Hospital,Albuquerque,555,"22,737","153,088",New Mexico
UNM Sandoval Regional Medical Center,Rio Rancho,60,"2,950","11,951",New Mexico
Zuni Hospital,Zuni,27,548,"2,164",New Mexico
Carson Tahoe Regional Medical Center,Carson City,211,"10,795","46,814",Nevada
Carson Tahoe Sierra Surgery Hospital,Carson City,15,746,"1,772",Nevada
Centennial Hills Hospital Medical Center,Las Vegas,248,"15,560","69,168",Nevada
Children's Hospital of Nevada,Las Vegas,0,0,0,Nevada
Desert Springs Hospital Medical Center,Las Vegas,293,"12,675","58,563",Nevada
Dignity Health - Saint Rose Dominican Sahara Campus,Las Vegas,0,0,0,Nevada
Dignity Health - St. Rose Dominican Rose de Lima Campus,Henderson,110,"3,641","14,919",Nevada
Dignity Health - St. Rose Dominican Siena Campus,Henderson,326,"19,426","95,987",Nevada
Dignity Health Saint Rose Dominican North Las Vegas Campus,North Las Vegas,32,682,"1,399",Nevada
Dignity Health St. Rose Dominican's Blue Diamond Campus,Las Vegas,0,0,0,Nevada
"Dignity Health-Saint Rose Dominican, West Flamingo Campus",Las Vegas,0,0,0,Nevada
Dignity Health-St. Rose Dominican San Martin Campus,Las Vegas,136,"7,543","33,170",Nevada
Henderson Hospital,Henderson,140,"10,545","35,470",Nevada
Mike O'Callaghan Military Medical Center,Nellis Air Force Base,0,0,0,Nevada
MountainView Hospital,Las Vegas,384,"21,837","102,822",Nevada
North Vista Hospital,North Las Vegas,177,"8,357","37,059",Nevada
Northeastern Nevada Regional Hospital,Elko,59,"1,958","5,159",Nevada
Northern Nevada Medical Center,Sparks,108,"4,042","13,241",Nevada
Orthopedic Specialty Hospital of Nevada,Las Vegas,130,"3,375","20,734",Nevada
Renown Regional Medical Center,Reno,637,"32,725","187,103",Nevada
Renown South Meadows Medical Center,Reno,138,"4,080","13,403",Nevada
Saint Mary's Regional Medical Center,Reno,252,"13,342","60,403",Nevada
Southern Hills Hospital & Medical Center,Las Vegas,186,"9,899","39,940",Nevada
Spring Valley Hospital Medical Center,Las Vegas,359,"17,218","81,066",Nevada
Summerlin Hospital Medical Center,Las Vegas,401,"22,993","111,894",Nevada
Sunrise Children's Hospital,Las Vegas,0,0,0,Nevada
Sunrise Hospital & Medical Center,Las Vegas,596,"28,518","179,113",Nevada
University Medical Center,Las Vegas,498,"25,789","128,837",Nevada
VA Sierra Nevada Health Care System,Reno,0,0,0,Nevada
VA Southern Nevada Healthcare System,Las Vegas,0,0,0,Nevada
Valley Hospital Medical Center,Las Vegas,290,"14,923","85,614",Nevada
Long Island Community Hospital,Patchogue,235,"11,756","69,960",New York
A.O. Fox Hospital,Oneonta,191,"2,168","8,222",New York
Adirondack Medical Center at Saranac Lake,Saranac Lake,155,"2,001","7,868",New York
Albany Medical Center,Albany,793,"39,130","214,165",New York
Albany Stratton VA Medical Center,Albany,0,0,0,New York
Arnot Ogden Medical Center,Elmira,225,"10,921","46,139",New York
Auburn Community Hospital,Auburn,179,"4,466","17,986",New York
Bassett Medical Center,Cooperstown,180,"8,910","44,246",New York
Batavia VA Medical Center,Batavia,0,0,0,New York
Bath VA Medical Center,Bath,0,0,0,New York
Bellevue Woman's Center,Niskayuna,40,"2,197","11,616",New York
Bertrand Chaffee Hospital,Springville,103,853,"3,107",New York
Bon Secours Community Hospital,Port Jervis,168,"2,868","14,014",New York
"BronxCare Dr. Martin Luther King, Jr. Health Center",Bronx,564,"27,254","131,625",New York
BronxCare Special Care Center,Bronx,0,0,0,New York
Brooks Memorial Hospital,Dunkirk,65,"2,180","10,201",New York
Buffalo General Medical Center,Buffalo,"1,068","50,926","264,758",New York
Buffalo VA Medical Center,Buffalo,0,0,0,New York
Burdett Birth Center,Troy,0,0,0,New York
Canandaigua VA Medical Center,Canandaigua,0,0,0,New York
Canton-Potsdam Hospital,Potsdam,94,"4,614","23,761",New York
Catskill Regional Medical Center - Harris Campus,Harris,166,"3,485","16,320",New York
Cayuga Medical Center at Ithaca,Ithaca,178,"6,257","28,410",New York
Claxton-Hepburn Medical Center,Ogdensburg,130,"2,046","10,390",New York
Clifton Springs Hospital and Clinic,Clifton Springs,203,"1,938","14,290",New York
Columbia Memorial Hospital,Hudson,117,"4,342","23,510",New York
Cornerstone of Fresh Meadows,Fresh Meadows,0,0,0,New York
Crouse Hospital,Syracuse,502,"19,181","114,794",New York
Eastern Niagara Hospital-Lockport,Lockport,135,"4,071","27,558",New York
Ellis Hospital,Schenectady,416,"16,882","92,773",New York
Erie County Medical Center,Buffalo,906,"16,670","102,375",New York
F.F. Thompson Hospital,Canandaigua,291,"4,613","21,085",New York
Flushing Hospital Medical Center,Flushing,299,"13,402","67,185",New York
Geneva General Hospital,Geneva,477,"3,607","15,323",New York
Glen Cove Hospital,Glen Cove,119,"3,192","13,445",New York
Glens Falls Hospital,Glens Falls,406,"11,172","51,127",New York
Good Samaritan Hospital,Suffern,286,"14,833","70,259",New York
Good Samaritan Hospital Medical Center,West Islip,437,"24,474","127,312",New York
Guthrie Corning Hospital,Corning,65,"4,474","15,149",New York
Guthrie Cortland Regional Medical Center,Cortland,194,"3,121","11,271",New York
HealthAlliance - Broadway Campus,Kingston,149,"5,625","26,491",New York
HealthAlliance Hospital Mary's Avenue Campus,Kingston,105,"1,676","7,761",New York
Helen Hayes Hospital,West Haverstraw,155,0,0,New York
Highland Hospital,Rochester,235,"16,725","88,356",New York
Hospital for Special Surgery,New York,215,"15,772","47,370",New York
Huntington Hospital,Huntington,280,"15,261","66,201",New York
Interfaith Medical Center,Brooklyn,243,"7,073","39,270",New York
Ira Davenport Memorial Hospital,Bath,135,250,628,New York
Jack D. Weiler Hospital,Bronx,0,0,0,New York
Jamaica Hospital Medical Center,Jamaica,594,"15,321","76,376",New York
James J. Peters VA Medical Center,Bronx,0,0,0,New York
John T. Mather Memorial Hospital,Port Jefferson,248,"10,472","58,577",New York
Jones Memorial Hospital,Wellsville,49,"1,724","7,256",New York
Keller Army Community Hospital,West Point,0,0,0,New York
Kenmore Mercy Hospital,Kenmore,344,"7,966","31,343",New York
Kingsbrook Jewish Medical Center,Brooklyn,746,"6,618","42,403",New York
Lenox Hill Hospital,New York,449,"27,874","118,159",New York
Long Island Jewish Forest Hills Hospital,Forest Hills,227,"15,009","75,691",New York
Long Island Jewish Medical Center,New Hyde Park,"1,549","71,299","365,219",New York
Long Island Jewish Valley Stream,Valley Stream,337,"8,102","37,882",New York
Maimonides Medical Center,Brooklyn,711,"34,994","194,690",New York
Massena Hospital,Massena,50,"1,573","6,512",New York
Memorial Sloan-Kettering Cancer Center,New York,498,"24,139","171,716",New York
Mercy Hospital of Buffalo,Buffalo,470,"18,591","91,807",New York
Mercy Medical Center,Rockville Centre,375,"9,100","47,366",New York
Midhudson Regional Hospital of Westchester Medical Center,Poughkeepsie,243,"5,805","34,600",New York
Millard Fillmore Suburban Hospital,Williamsville,0,0,0,New York
Monroe Community Hospital,Rochester,571,0,0,New York
Montefiore Hospital- Moses Campus,Bronx,"1,529","88,041","483,151",New York
Montefiore Mount Vernon Hospital,Mount Vernon,85,"3,038","14,056",New York
Montefiore New Rochelle Hospital,New Rochelle,301,"6,448","31,370",New York
Montefiore Nyack Hospital,Nyack,235,"10,413","56,968",New York
Montefiore St. Lukes Cornwall,Newburgh,193,"10,231","47,898",New York
Montefiore Wakefield Campus,Bronx,345,"13,485","83,657",New York
Montefiore Westchester Square Campus,Bronx,140,"2,929","20,347",New York
Mount Saint Mary's Hospital,Lewiston,143,"4,820","32,052",New York
Mount Sinai Brooklyn,Brooklyn,0,0,0,New York
Mount Sinai Queens,Astoria,235,"9,108","60,818",New York
Mount Sinai Beth Israel Medical Center,New York,554,"23,603","138,557",New York
Mount Sinai Morningside,New York,783,"32,314","176,754",New York
Mount Sinai South Nassau,Oceanside,407,"18,713","105,708",New York
Mount Sinai West,New York,0,0,0,New York
MVHS - St. Luke's Campus,Utica,255,"12,306","60,436",New York
MVHS - Faxton Campus,Utica,0,0,0,New York
MVHS - St. Elizabeth Campus,Utica,201,"9,298","47,563",New York
Nassau University Medical Center,East Meadow,530,"17,113","81,662",New York
